query,cls
какой самый высокий здание в мире,2
сколько длится средняя кошачья жизнь,2
какой цвет лучше всего подходит к синему?,2
как приготовить пасту карбонара?,2
Какие фильмы вышли на этой неделе?,2
Как улучшить Wi-Fi сигнал в доме,2
Какие марки автомобилей считаются самыми безопасными?,2
какие страны входят в европейский союз?,2
Как вырастить помидоры в горшке?,2
какие симптомы гриппа,2
Какие песни популярны в этом году?,2
Как долго длится солнечное затмение?,2
Какие памятники архитектуры в Риме стоит посетить?,2
Как пишется слово 'ресторан',2
Какие виды кофе самые ароматные,2
какие книги являются бестселлерами этого месяца?,2
какие растения подходят для офисного интерьера?,2
какие способы борьбы с прокрастинацией,2
КАКИЕ ЖИВОТНЫЕ СЧИТАЮТСЯ САМЫМИ УМНЫМИ?,2
какие программы помогают управлять временем,2
какие виды морских гадов существуют,2
какие виды облаков предвещают дождь,2
какие фотографии считаются самыми искусными,2
какой кофеиновый напиток самый крепкий,2
КАКИЕ ВИДЫ КАШЛЯ СВИДЕТЕЛЬСТВУЮТ О БОЛЕЗНИ,2
какие курорты считаются лучшими для зимнего отдыха?,2
Какой срок хранения медицинских справок?,2
какие виды грибов считаются ядовитыми,2
Какие варианты фруктовых десертов можно приготовить без выпечки,2
Какие виды спорта являются самыми популярными в США?,2
какие места стоит посетить в токио,2
Какие признаки аллергии на морепродукты,2
какие виды винограда используются для производства вина?,2
Какие гаджеты считаются лучшими для путешествий?,2
какие звездные созвездия можно увидеть осенью,2
Какие меры безопасности нужно принимать при загаре на пляже?,2
Какие методы помогают бороться с бессонницей?,2
Какие виды диет существуют для похудения,2
Какие виды рыбы являются самыми популярными в ресторанах,2
Какие способы погашения кредита наиболее эффективны,2
какие курсы английского языка считаются наиболее эффективными?,2
Какие виды цветов подходят для свадебного букета?,2
КАКИЕ ДОСТОПРИМЕЧАТЕЛЬНОСТИ СТОИТ ПОСЕТИТЬ В ПАРИЖЕ?,2
Какие виды кофейных зерен лучше всего подходят для эспрессо?,2
какие виды птиц наиболее распространены в городских парках,2
какие виды медитации помогают снять стресс,2
КАКИЕ КНИГИ СЧИТАЮТСЯ КЛАССИКОЙ МИРОВОЙ ЛИТЕРАТУРЫ,2
КАКИЕ ВИДЫ СЫРА СОЧЕТАЮТСЯ С КРАСНЫМ ВИНОМ?,2
какие виды декора подходят для детской комнаты,2
какие виды обуви рекомендуются для пеших прогулок,2
какие птицы могут петь самые красивые песни?,2
какие меры безопасности необходимо соблюдать при катании на велосипеде,2
Какие способы позволяют сохранить свежесть овощей и фруктов?,2
Какие виды танцевальной музыки популярны в клубах?,2
Какие виды спортивной одежды рекомендуются для занятий йогой?,2
Какие признаки усталости у домашних животных,2
Какие методы обучения игре на музыкальных инструментах наиболее эффективны,2
КАКИЕ ВИДЫ ГРИБОВ МОЖНО НАЙТИ В ЛЕСУ ОСЕНЬЮ?,2
Какие стратегии помогают сохранить здоровье зубов,2
какие мероприятия проводятся на хэллоуин?,2
Какие виды пряжи подходят для вязания пледов,2
какие виды техники боевых искусств считаются самыми эффективными для самообороны,2
какие виды домашних растений легко ухаживать,2
Какие методы позволяют снять боль в спине,2
Какие признаки свидетельствуют о высоком уровне интеллекта у человека?,2
какие виды морской соли используются для приготовления блюд?,2
Какие виды собак подходят для жизни в квартире?,2
КАКИЕ ПРИЗНАКИ УКАЗЫВАЮТ НА ДЕПРЕССИЮ У ПОДРОСТКОВ?,2
какие способы помогают справиться с летней жарой,2
Какие виды камней используются для изготовления украшений,2
какие меры безопасности необходимо соблюдать при работе на кухне?,2
Какие виды мебели подходят для небольших квартир?,2
какие методы позволяют улучшить память?,2
Какие виды морепродуктов являются наиболее полезными для здоровья?,2
Какие виды цветов подходят для оформления свадебного стола?,2
какие меры безопасности необходимо соблюдать при использовании общественного транспорта,2
Какие виды деревьев являются наиболее популярными для озеленения городских парков?,2
какие признаки свидетельствуют о стрессе у домашних животных,2
Какие виды морских гадов используются в кулинарии,2
какие виды рыбы рекомендуются для приготовления суши,2
какие методы помогают справиться с аллергией на пыльцу,2
Какие виды массажа помогают снять мышечное напряжение?,2
